,observation_date,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,beta_0,beta_1,beta_2,lambda
0,2014-01-02,0.07,0.09,0.13,0.39,0.76,1.72,2.41,3.0,7.124033026954326,-7.08303893756094,-6.5736052169571195,0.30303030303030304
1,2014-01-03,0.07,0.1,0.13,0.41,0.8,1.73,2.42,3.01,7.062936822369593,-7.024614991370007,-6.3966590044803615,0.30303030303030304
2,2014-01-06,0.05,0.08,0.12,0.4,0.78,1.7,2.38,2.98,7.0160114317194395,-6.988515739784033,-6.396458187147678,0.30303030303030304
3,2014-01-07,0.04,0.08,0.13,0.4,0.8,1.69,2.37,2.96,6.9221320712415,-6.8996706589630845,-6.233861701536971,0.30303030303030304
4,2014-01-08,0.05,0.08,0.13,0.43,0.87,1.77,2.44,3.01,6.9148437746964415,-6.9038274653146585,-5.9806053894404565,0.30303030303030304
5,2014-01-09,0.04,0.06,0.13,0.44,0.86,1.75,2.41,2.97,6.829004129125573,-6.819592709617479,-5.908354355897692,0.30303030303030304
6,2014-01-10,0.05,0.06,0.12,0.39,0.77,1.64,2.29,2.88,6.778445088414057,-6.748949250215479,-6.191772263915407,0.30303030303030304
7,2014-01-13,0.03,0.06,0.11,0.39,0.74,1.6,2.25,2.84,6.69792988011075,-6.675207446446526,-6.1492608372624575,0.30303030303030304
8,2014-01-14,0.04,0.06,0.11,0.39,0.78,1.65,2.3,2.88,6.738943423156176,-6.724376622653013,-6.066551485005488,0.30303030303030304
9,2014-01-15,0.04,0.06,0.13,0.41,0.81,1.68,2.33,2.9,6.740798747285611,-6.722009681321542,-5.987247125398516,0.30303030303030304
10,2014-01-16,0.04,0.07,0.11,0.41,0.8,1.66,2.3,2.86,6.616851052488088,-6.606144221935902,-5.821721979835472,0.30303030303030304
11,2014-01-17,0.05,0.07,0.11,0.4,0.79,1.64,2.27,2.84,6.593361570184792,-6.574581531763545,-5.862331655010753,0.30303030303030304
12,2014-01-21,0.04,0.07,0.12,0.4,0.81,1.67,2.29,2.85,6.56492858426295,-6.5567030945917635,-5.725686047980484,0.30303030303030304
13,2014-01-22,0.04,0.07,0.11,0.44,0.85,1.72,2.34,2.87,6.516195425811126,-6.519861563977233,-5.478917658172784,0.30303030303030304
14,2014-01-23,0.04,0.05,0.11,0.39,0.77,1.62,2.24,2.79,6.500450140814383,-6.488522304386332,-5.785729218323209,0.30303030303030304
15,2014-01-24,0.04,0.06,0.11,0.37,0.75,1.58,2.2,2.75,6.425941495336856,-6.411449073680553,-5.766585922256368,0.30303030303030304
16,2014-01-27,0.05,0.07,0.11,0.37,0.76,1.61,2.24,2.78,6.487922077302574,-6.473763598046195,-5.785429024347259,0.30303030303030304
17,2014-01-28,0.05,0.07,0.11,0.38,0.75,1.59,2.22,2.77,6.481164680774561,-6.458777674438768,-5.835286936479032,0.30303030303030304
18,2014-01-29,0.04,0.07,0.11,0.36,0.71,1.52,2.15,2.69,6.336596800432127,-6.312342958142145,-5.786577871987206,0.30303030303030304
19,2014-01-30,0.02,0.06,0.1,0.36,0.72,1.55,2.19,2.72,6.383565729754325,-6.3813091421529275,-5.743177324067941,0.30303030303030304
20,2014-01-31,0.02,0.06,0.1,0.34,0.69,1.49,2.13,2.67,6.318908482927377,-6.308215423097301,-5.806539240531982,0.30303030303030304
21,2014-02-03,0.05,0.07,0.11,0.3,0.64,1.44,2.07,2.61,6.282691627898279,-6.247392189952812,-5.967898763512687,0.30303030303030304
22,2014-02-04,0.06,0.07,0.12,0.31,0.65,1.46,2.09,2.64,6.361077601867153,-6.314990410044153,-6.0662552683362065,0.30303030303030304
23,2014-02-05,0.07,0.07,0.12,0.32,0.66,1.5,2.14,2.7,6.51816616361121,-6.467320670915648,-6.230521885314399,0.30303030303030304
24,2014-02-06,0.07,0.08,0.13,0.33,0.69,1.52,2.17,2.73,6.542731228126878,-6.49119170407834,-6.183543474837601,0.30303030303030304
25,2014-02-07,0.08,0.09,0.12,0.3,0.66,1.47,2.13,2.71,6.56289652032165,-6.50295085838773,-6.350603620789216,0.30303030303030304
26,2014-02-10,0.07,0.1,0.12,0.32,0.66,1.48,2.13,2.7,6.491804811556055,-6.4365716410832094,-6.201544287482316,0.30303030303030304
27,2014-02-11,0.05,0.1,0.12,0.35,0.71,1.54,2.19,2.75,6.49617573310391,-6.461676215704567,-5.987215397459093,0.30303030303030304
28,2014-02-12,0.05,0.09,0.12,0.35,0.74,1.59,2.23,2.8,6.580115782198427,-6.555160441398503,-5.991297221445663,0.30303030303030304
29,2014-02-13,0.03,0.08,0.12,0.32,0.7,1.51,2.16,2.73,6.479614721410501,-6.457169463500996,-6.0208307172770645,0.30303030303030304
30,2014-02-14,0.02,0.07,0.11,0.32,0.71,1.53,2.17,2.75,6.503466553436498,-6.494284780729952,-5.995056172087624,0.30303030303030304
31,2014-02-18,0.05,0.08,0.12,0.31,0.67,1.5,2.14,2.71,6.49670258646562,-6.4600761357403345,-6.144612837886825,0.30303030303030304
32,2014-02-19,0.06,0.09,0.11,0.33,0.69,1.53,2.17,2.73,6.495057234012611,-6.460744377505468,-6.049489404652615,0.30303030303030304
33,2014-02-20,0.05,0.08,0.12,0.34,0.72,1.57,2.2,2.76,6.515359782681561,-6.489870886957542,-5.968484398698935,0.30303030303030304
34,2014-02-21,0.05,0.08,0.12,0.33,0.71,1.56,2.19,2.73,6.450471510896759,-6.428280895551931,-5.89314233819431,0.30303030303030304
35,2014-02-24,0.05,0.08,0.11,0.35,0.72,1.57,2.2,2.75,6.476416737210858,-6.4547281269263665,-5.896143991921311,0.30303030303030304
36,2014-02-25,0.05,0.08,0.11,0.34,0.7,1.53,2.16,2.7,6.3827355211561265,-6.357503318974318,-5.854658168462276,0.30303030303030304
37,2014-02-26,0.05,0.08,0.11,0.33,0.68,1.5,2.12,2.67,6.338819047191033,-6.30856773834248,-5.882612767738632,0.30303030303030304
38,2014-02-27,0.04,0.07,0.11,0.33,0.68,1.49,2.11,2.65,6.28560857881286,-6.261582949058049,-5.810181095251322,0.30303030303030304
