observation_date,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,beta_0,beta_1,beta_2,lambda
2022-01-03,0.08,0.22,0.4,0.78,1.04,1.37,1.55,1.63,2.3756172821091273,-2.2468739829296815,0.1347855550059729,0.30303030303030304
2022-01-04,0.08,0.22,0.38,0.77,1.02,1.37,1.57,1.66,2.498825056345431,-2.375081523490723,-0.05496507341366774,0.30303030303030304
2022-01-05,0.09,0.22,0.41,0.83,1.1,1.43,1.62,1.71,2.493765442474846,-2.3558273256249347,0.12418111566033951,0.30303030303030304
2022-01-06,0.1,0.23,0.45,0.88,1.15,1.47,1.66,1.73,2.4593906281174474,-2.3009092041580987,0.2785578649261973,0.30303030303030304
2022-01-07,0.1,0.24,0.43,0.87,1.17,1.5,1.69,1.76,2.4783616014062044,-2.3384835084494346,0.37013168259214946,0.30303030303030304
2022-01-10,0.13,0.28,0.46,0.92,1.21,1.53,1.71,1.78,2.4373283553832232,-2.2650307432782553,0.4941125931930834,0.30303030303030304
2022-01-11,0.11,0.28,0.46,0.9,1.22,1.51,1.69,1.75,2.322879980673787,-2.1683533829015693,0.6840739450075861,0.30303030303030304
2022-01-12,0.12,0.27,0.48,0.92,1.21,1.5,1.67,1.74,2.3413388700728386,-2.1628904419679023,0.5627542288852165,0.30303030303030304
2022-01-13,0.12,0.28,0.47,0.91,1.18,1.47,1.64,1.7,2.2695728499988292,-2.0919163388920117,0.5955210103036934,0.30303030303030304
2022-01-14,0.13,0.3,0.51,0.99,1.26,1.55,1.72,1.78,2.3223618601773026,-2.122648389357344,0.7340671204127889,0.30303030303030304
2022-01-18,0.16,0.37,0.58,1.06,1.35,1.65,1.82,1.87,2.356513351721905,-2.1185179391863307,0.9443512265082478,0.30303030303030304
2022-01-19,0.17,0.36,0.57,1.04,1.33,1.62,1.78,1.83,2.3052847446723166,-2.0651558191190302,0.9193613067063763,0.30303030303030304
2022-01-20,0.17,0.36,0.6,1.08,1.34,1.62,1.77,1.83,2.2900880844699905,-2.0267306050176606,0.908933275518862,0.30303030303030304
2022-01-21,0.17,0.35,0.58,1.01,1.28,1.54,1.7,1.75,2.2168272760793255,-1.962259117313175,0.8102023762374609,0.30303030303030304
2022-01-24,0.19,0.39,0.58,0.99,1.25,1.53,1.69,1.75,2.247094489515409,-1.9790144303063009,0.7054795330942389,0.30303030303030304
2022-01-25,0.19,0.39,0.65,1.02,1.28,1.56,1.73,1.78,2.3116125934220313,-2.012937352065622,0.6388469444874254,0.30303030303030304
2022-01-26,0.19,0.4,0.7,1.13,1.39,1.66,1.81,1.85,2.26403865163155,-1.9473545489751893,0.9992897407460539,0.30303030303030304
2022-01-27,0.2,0.43,0.75,1.18,1.43,1.66,1.78,1.81,2.0504971717878138,-1.703698548948115,1.324326578000111,0.30303030303030304
2022-01-28,0.19,0.43,0.75,1.15,1.38,1.61,1.74,1.78,2.069947642308933,-1.7201496823839877,1.145001720026525,0.30303030303030304
2022-01-31,0.22,0.49,0.78,1.18,1.39,1.62,1.75,1.79,2.042332048774174,-1.6575763260321463,1.1921543576989715,0.30303030303030304
2022-02-01,0.19,0.48,0.78,1.18,1.39,1.63,1.76,1.81,2.074709818455026,-1.7066205841926063,1.1960627443514553,0.30303030303030304
2022-02-02,0.19,0.45,0.76,1.16,1.38,1.6,1.74,1.78,2.0556508281757955,-1.6970569657534105,1.1576869694910552,0.30303030303030304
2022-02-03,0.2,0.48,0.78,1.19,1.42,1.66,1.78,1.82,2.0444500763646403,-1.6789256618687767,1.327239901945547,0.30303030303030304
2022-02-04,0.23,0.56,0.89,1.31,1.55,1.78,1.9,1.93,2.0582282395885807,-1.632257053036808,1.6237821218024344,0.30303030303030304
2022-02-07,0.27,0.58,0.88,1.3,1.54,1.76,1.88,1.92,2.0721610619243345,-1.6247518978461732,1.5122950499426708,0.30303030303030304
2022-02-08,0.25,0.59,0.91,1.35,1.59,1.81,1.93,1.96,2.050393673011141,-1.603886950934595,1.720577711779035,0.30303030303030304
2022-02-09,0.26,0.57,0.91,1.36,1.61,1.82,1.92,1.94,1.9790584458103537,-1.5316923138709349,1.8375690793195603,0.30303030303030304
2022-02-10,0.4,0.74,1.14,1.61,1.82,1.96,2.03,2.03,1.8204889063269674,-1.1817584495885431,2.3025039454552036,0.30303030303030304
2022-02-11,0.36,0.71,1.07,1.5,1.71,1.84,1.92,1.92,1.7202409396600862,-1.1319075411989428,2.193994695524191,0.30303030303030304
2022-02-14,0.43,0.76,1.13,1.58,1.8,1.9,1.98,1.98,1.749901068012966,-1.095277759008275,2.255407086155496,0.30303030303030304
2022-02-15,0.4,0.72,1.11,1.58,1.8,1.94,2.03,2.05,1.9503638938291339,-1.3218578542213577,2.0550277562397854,0.30303030303030304
2022-02-16,0.38,0.67,1.09,1.52,1.75,1.9,2.0,2.03,2.047507196849262,-1.4388483220866672,1.7731795961979766,0.30303030303030304
2022-02-17,0.36,0.65,1.05,1.49,1.7,1.85,1.94,1.97,1.9581166476871181,-1.3737709992909828,1.7948409978741633,0.30303030303030304
2022-02-18,0.35,0.65,1.03,1.47,1.68,1.82,1.9,1.92,1.8333703413568119,-1.2650643914413795,1.937733348034391,0.30303030303030304
2022-02-22,0.37,0.73,1.17,1.56,1.74,1.85,1.93,1.94,1.7536690364102825,-1.1029388720458444,2.0877191368524732,0.30303030303030304
2022-02-23,0.34,0.74,1.16,1.58,1.78,1.89,1.98,1.99,1.760322744799827,-1.1369085570964108,2.282377021026031,0.30303030303030304
2022-02-24,0.32,0.65,1.08,1.54,1.73,1.84,1.94,1.96,1.8436375430262526,-1.2605922472034004,2.024379122486613,0.30303030303030304
2022-02-25,0.33,0.71,1.13,1.55,1.76,1.86,1.96,1.97,1.7724712696518234,-1.168144904524701,2.2056584549904636,0.30303030303030304
2022-02-28,0.35,0.69,1.01,1.44,1.62,1.71,1.81,1.83,1.6694360733860463,-1.094564978638645,1.957198407612796,0.30303030303030304
2022-03-01,0.32,0.6,0.91,1.31,1.47,1.56,1.67,1.72,1.7308023056277413,-1.2030618575142082,1.4357592568623072,0.30303030303030304
2022-03-02,0.34,0.68,1.06,1.5,1.67,1.74,1.83,1.86,1.6707923837197776,-1.0739445719785754,2.0205232830164293,0.30303030303030304
2022-03-03,0.38,0.69,1.08,1.53,1.69,1.74,1.82,1.86,1.6702244413801706,-1.0358057387181616,1.9611758275950515,0.30303030303030304
2022-03-04,0.34,0.69,1.05,1.5,1.62,1.65,1.7,1.74,1.399324738013415,-0.7905581471082447,2.1826889642035616,0.30303030303030304
