observation_date,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,beta_0,beta_1,beta_2,lambda
2022-01-03,0.08,0.22,0.4,0.78,1.04,1.37,1.55,1.63,2.0181983267687262,-2.0957423903609693,-0.09767982193037922,0.37
2022-01-04,0.08,0.22,0.38,0.77,1.02,1.37,1.57,1.66,2.0906472323082346,-2.1567176755352815,-0.2950688348363663,0.37
2022-01-05,0.09,0.22,0.41,0.83,1.1,1.43,1.62,1.71,2.1059087964318226,-2.1933513472948003,-0.06461280514063704,0.37
2022-01-06,0.1,0.23,0.45,0.88,1.15,1.47,1.66,1.73,2.095014186896461,-2.189911767950606,0.1404053857795727,0.37
2022-01-07,0.1,0.24,0.43,0.87,1.17,1.5,1.69,1.76,2.157314551532778,-2.252134330678192,0.05183555053231259,0.37
2022-01-10,0.13,0.28,0.46,0.92,1.21,1.53,1.71,1.78,2.1522527702664607,-2.2210959032716304,0.15568145844591824,0.37
2022-01-11,0.11,0.28,0.46,0.9,1.22,1.51,1.69,1.75,2.1000996127198492,-2.186404890437721,0.26026083376284603,0.37
2022-01-12,0.12,0.27,0.48,0.92,1.21,1.5,1.67,1.74,2.0633523026252254,-2.1459053830395765,0.3291038472477124,0.37
2022-01-13,0.12,0.28,0.47,0.91,1.18,1.47,1.64,1.7,2.0181265081686255,-2.090515477064506,0.3205511522878175,0.37
2022-01-14,0.13,0.3,0.51,0.99,1.26,1.55,1.72,1.78,2.0770244225878347,-2.159493169310003,0.5007761063539417,0.37
2022-01-18,0.16,0.37,0.58,1.06,1.35,1.65,1.82,1.87,2.1664996877903206,-2.215536464055333,0.5887314993559334,0.37
2022-01-19,0.17,0.36,0.57,1.04,1.33,1.62,1.78,1.83,2.1184391760917785,-2.160920892809883,0.58386115103599,0.37
2022-01-20,0.17,0.36,0.6,1.08,1.34,1.62,1.77,1.83,2.0721860719913585,-2.120953306632342,0.7503108425633953,0.37
2022-01-21,0.17,0.35,0.58,1.01,1.28,1.54,1.7,1.75,2.001851917989477,-2.032349091102366,0.6243311702933507,0.37
2022-01-24,0.19,0.39,0.58,0.99,1.25,1.53,1.69,1.75,2.033895344296509,-2.014517806337953,0.4133349970412652,0.37
2022-01-25,0.19,0.39,0.65,1.02,1.28,1.56,1.73,1.78,2.041463374599521,-2.0240024901104094,0.5426957956451139,0.37
2022-01-26,0.19,0.4,0.7,1.13,1.39,1.66,1.81,1.85,2.047821369245978,-2.071839248996576,0.9636036749359039,0.37
2022-01-27,0.2,0.43,0.75,1.18,1.43,1.66,1.78,1.81,1.9187924725402716,-1.9426781265944666,1.329014272197186,0.37
2022-01-28,0.19,0.43,0.75,1.15,1.38,1.61,1.74,1.78,1.891602713262328,-1.9012245837693247,1.2249012863698294,0.37
2022-01-31,0.22,0.49,0.78,1.18,1.39,1.62,1.75,1.79,1.8953520488381517,-1.85505839433296,1.2024421072709026,0.37
2022-02-01,0.19,0.48,0.78,1.18,1.39,1.63,1.76,1.81,1.9136214385817196,-1.898434480083209,1.226121207310934,0.37
2022-02-02,0.19,0.45,0.76,1.16,1.38,1.6,1.74,1.78,1.8830281435316676,-1.8811211186888268,1.2329525630588387,0.37
