observation_date,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,beta_0,beta_1,beta_2,beta_3,lambda_1,lambda_2
2022-01-03,0.08,0.22,0.4,0.78,1.04,1.37,1.55,1.63,1.9292252876879548,-2.09581961410915,0.8020328645115301,0.9429783925208785,0.47,40
2022-01-04,0.08,0.22,0.38,0.77,1.02,1.37,1.57,1.66,2.0216843958667035,-2.1855232374122777,0.6007009617184057,0.9883622001122653,0.47,40
2022-01-05,0.09,0.22,0.41,0.83,1.1,1.43,1.62,1.71,1.9915030238624967,-2.202512363916052,0.9652125031623424,1.3238289751773586,0.47,40
2022-01-06,0.1,0.23,0.45,0.88,1.15,1.47,1.66,1.73,1.9592236402727665,-2.1681985063495723,1.1911087200631512,1.2750243540881634,0.47,40
2022-01-07,0.1,0.24,0.43,0.87,1.17,1.5,1.69,1.76,2.0040533362852027,-2.2545026479945327,1.2241301280228474,1.6802291265855087,0.47,40
2022-01-10,0.13,0.28,0.46,0.92,1.21,1.53,1.71,1.78,1.991200122069294,-2.207561969905558,1.318977143105608,1.621816517224593,0.47,40
2022-01-11,0.11,0.28,0.46,0.9,1.22,1.51,1.69,1.75,1.9421743712003463,-2.1469947638002105,1.3596901597818798,1.3370696101259738,0.47,40
2022-01-12,0.12,0.27,0.48,0.92,1.21,1.5,1.67,1.74,1.909796655081536,-2.0951453416484194,1.3801955979030198,1.200514337390128,0.47,40
2022-01-13,0.12,0.28,0.47,0.91,1.18,1.47,1.64,1.7,1.8746863928345794,-2.035533342454426,1.3142981845389876,1.042980927883886,0.47,40
2022-01-14,0.13,0.3,0.51,0.99,1.26,1.55,1.72,1.78,1.9153586551324107,-2.0764953920696345,1.5286053190549962,0.9912906077402222,0.47,40
2022-01-18,0.16,0.37,0.58,1.06,1.35,1.65,1.82,1.87,2.0171721487512935,-2.098701921145409,1.5334568747076633,0.5180155882848927,0.47,40
2022-01-19,0.17,0.36,0.57,1.04,1.33,1.62,1.78,1.83,1.9530857200453717,-2.0580143838546556,1.5927844554790536,0.8317239307096088,0.47,40
2022-01-20,0.17,0.36,0.6,1.08,1.34,1.62,1.77,1.83,1.919724339333782,-1.9802998983037197,1.6359416243259184,0.3537627285555995,0.47,40
