observation_date,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,beta_0,beta_1,beta_2,lambda
2014-01-02,0.07,0.09,0.13,0.39,0.76,1.72,2.41,3.0,5.387814004347995,-5.3054221282360805,-5.891934802952084,0.47
2014-01-03,0.07,0.1,0.13,0.41,0.8,1.73,2.42,3.01,5.362348209704524,-5.286958599031846,-5.758413131626435,0.47
2014-01-06,0.05,0.08,0.12,0.4,0.78,1.7,2.38,2.98,5.302569896145945,-5.245573188237736,-5.694687086886786,0.47
2014-01-07,0.04,0.08,0.13,0.4,0.8,1.69,2.37,2.96,5.2383917795458546,-5.192464936212964,-5.544734432303943,0.47
2014-01-08,0.05,0.08,0.13,0.43,0.87,1.77,2.44,3.01,5.278300118550171,-5.253433853318954,-5.373801321946624,0.47
2014-01-09,0.04,0.06,0.13,0.44,0.86,1.75,2.41,2.97,5.184447180943939,-5.178083025717587,-5.203689034383951,0.47
2014-01-10,0.05,0.06,0.12,0.39,0.77,1.64,2.29,2.88,5.098364492722991,-5.0530615408112105,-5.425106541008419,0.47
2014-01-13,0.03,0.06,0.11,0.39,0.74,1.6,2.25,2.84,5.027737717743386,-4.989850919824234,-5.3711744273977144,0.47
2014-01-14,0.04,0.06,0.11,0.39,0.78,1.65,2.3,2.88,5.092324023966662,-5.0605164782211896,-5.367596304332978,0.47
2014-01-15,0.04,0.06,0.13,0.41,0.81,1.68,2.33,2.9,5.092464207858896,-5.0686352293843955,-5.252405362922144,0.47
2014-01-16,0.04,0.07,0.11,0.41,0.8,1.66,2.3,2.86,5.0262948267278,-5.002529562410838,-5.185715994525674,0.47
2014-01-17,0.05,0.07,0.11,0.4,0.79,1.64,2.27,2.84,4.9991142787036305,-4.964204229463802,-5.21212305716044,0.47
2014-01-21,0.04,0.07,0.12,0.4,0.81,1.67,2.29,2.85,4.9980301600413775,-4.976999125051092,-5.1204549295963515,0.47
2014-01-22,0.04,0.07,0.11,0.44,0.85,1.72,2.34,2.87,4.993181007566345,-4.995661098798466,-4.92551214237077,0.47
2014-01-23,0.04,0.05,0.11,0.39,0.77,1.62,2.24,2.79,4.91321227168419,-4.894221098973144,-5.090253951539227,0.47
2014-01-24,0.04,0.06,0.11,0.37,0.75,1.58,2.2,2.75,4.861920730612941,-4.829917142945046,-5.11626010470442,0.47
2014-01-27,0.05,0.07,0.11,0.37,0.76,1.61,2.24,2.78,4.933297632088041,-4.893185882806553,-5.204505470718479,0.47
2014-01-28,0.05,0.07,0.11,0.38,0.75,1.59,2.22,2.77,4.906774845267412,-4.862857880774781,-5.192510763879171,0.47
2014-01-29,0.04,0.07,0.11,0.36,0.71,1.52,2.15,2.69,4.781976652844503,-4.733197534553742,-5.13198636036149,0.47
2014-01-30,0.02,0.06,0.1,0.36,0.72,1.55,2.19,2.72,4.834187328444831,-4.809464924091658,-5.125105905312912,0.47
2014-01-31,0.02,0.06,0.1,0.34,0.69,1.49,2.13,2.67,4.762477971795439,-4.724724268316778,-5.152847179372045,0.47
2014-02-03,0.05,0.07,0.11,0.3,0.64,1.44,2.07,2.61,4.722164790892702,-4.64116456814724,-5.325662796069102,0.47
2014-02-04,0.06,0.07,0.12,0.31,0.65,1.46,2.09,2.64,4.768375697838454,-4.680553260324958,-5.371443862303933,0.47
2014-02-05,0.07,0.07,0.12,0.32,0.66,1.5,2.14,2.7,4.884470851013261,-4.7908247491864,-5.513002208438715,0.47
2014-02-06,0.07,0.08,0.13,0.33,0.69,1.52,2.17,2.73,4.916975550917071,-4.823370503547413,-5.492621799385419,0.47
2014-02-07,0.08,0.09,0.12,0.3,0.66,1.47,2.13,2.71,4.926888035740568,-4.806142054554176,-5.689880673524235,0.47
2014-02-10,0.07,0.1,0.12,0.32,0.66,1.48,2.13,2.7,4.887931359984994,-4.77525701100918,-5.575150981125416,0.47
2014-02-11,0.05,0.1,0.12,0.35,0.71,1.54,2.19,2.75,4.922895115368319,-4.842554236077776,-5.410785786874469,0.47
2014-02-12,0.05,0.09,0.12,0.35,0.74,1.59,2.23,2.8,4.9976988641387186,-4.930372258305237,-5.426315256830864,0.47
2014-02-13,0.03,0.08,0.12,0.32,0.7,1.51,2.16,2.73,4.891445840749095,-4.825802728117367,-5.40292068543263,0.47
2014-02-14,0.02,0.07,0.11,0.32,0.71,1.53,2.17,2.75,4.915114495200309,-4.865787394566123,-5.3851937332601985,0.47
2014-02-18,0.05,0.08,0.12,0.31,0.67,1.5,2.14,2.71,4.891459545948028,-4.805557258378665,-5.504744560389758,0.47
2014-02-19,0.06,0.09,0.11,0.33,0.69,1.53,2.17,2.73,4.918173310170654,-4.832542889082274,-5.478104913693806,0.47
2014-02-20,0.05,0.08,0.12,0.34,0.72,1.57,2.2,2.76,4.936841817892442,-4.871744717847378,-5.376442745499486,0.47
2014-02-21,0.05,0.08,0.12,0.33,0.71,1.56,2.19,2.73,4.898104358114847,-4.833300722146391,-5.3401085593934505,0.47
2014-02-24,0.05,0.08,0.11,0.35,0.72,1.57,2.2,2.75,4.915138740193054,-4.855302328299407,-5.323330605330897,0.47
2014-02-25,0.05,0.08,0.11,0.34,0.7,1.53,2.16,2.7,4.83657113921968,-4.771804155875956,-5.276745478025933,0.47
2014-02-26,0.05,0.08,0.11,0.33,0.68,1.5,2.12,2.67,4.789898923368818,-4.718101568778516,-5.282476880359133,0.47
2014-02-27,0.04,0.07,0.11,0.33,0.68,1.49,2.11,2.65,4.7432553589524336,-4.684862637741973,-5.1859609219093326,0.47
2014-02-28,0.05,0.08,0.12,0.33,0.69,1.51,2.13,2.66,4.766346600083801,-4.699131908469173,-5.202948323690329,0.47
2014-03-03,0.05,0.08,0.12,0.32,0.66,1.46,2.07,2.6,4.6678456743220185,-4.592716046960724,-5.155358116921928,0.47
2014-03-04,0.05,0.08,0.12,0.33,0.71,1.54,2.17,2.7,4.83810862408341,-4.774762864352576,-5.257274981605265,0.47
2014-03-05,0.06,0.09,0.13,0.33,0.71,1.54,2.16,2.7,4.8364665132784985,-4.759002315707998,-5.282532933093433,0.47
2014-03-06,0.05,0.08,0.12,0.37,0.73,1.57,2.2,2.74,4.870203968095693,-4.814906258377161,-5.200551642470493,0.47
2014-03-07,0.06,0.09,0.13,0.38,0.79,1.65,2.27,2.8,4.95045988862187,-4.902565149533479,-5.151038923066389,0.47
2014-03-10,0.05,0.08,0.12,0.37,0.79,1.64,2.26,2.79,4.932292846389111,-4.89674055054966,-5.121526910360647,0.47
2014-03-11,0.05,0.08,0.13,0.37,0.79,1.62,2.25,2.77,4.892210753994551,-4.854346900345625,-5.0715402083578605,0.47
2014-03-12,0.05,0.08,0.12,0.37,0.78,1.59,2.2,2.73,4.809166600128623,-4.77151833363211,-4.988649587870884,0.47
2014-03-13,0.05,0.08,0.12,0.34,0.74,1.53,2.14,2.66,4.720318377320807,-4.670217017704225,-5.004576006413311,0.47
2014-03-14,0.05,0.08,0.12,0.36,0.74,1.55,2.14,2.65,4.683533815364312,-4.641637817667166,-4.8877080349042785,0.47
2014-03-17,0.06,0.08,0.13,0.38,0.77,1.58,2.19,2.7,4.7565201255712735,-4.712592616178446,-4.918511835961813,0.47
2014-03-18,0.05,0.07,0.13,0.36,0.75,1.56,2.16,2.68,4.731491315417005,-4.691346113677409,-4.9368239470293505,0.47
2014-03-19,0.06,0.09,0.15,0.47,0.91,1.75,2.31,2.78,4.7464531689402385,-4.7577086338905215,-4.350302092697241,0.47
2014-03-20,0.06,0.09,0.14,0.45,0.9,1.73,2.31,2.79,4.794791484983579,-4.797598394115206,-4.503627957642451,0.47
2014-03-21,0.06,0.08,0.14,0.45,0.91,1.73,2.3,2.75,4.710742120289315,-4.728564150743908,-4.320405036571107,0.47
2014-03-24,0.06,0.08,0.14,0.47,0.93,1.76,2.31,2.74,4.662423470720961,-4.695447859745719,-4.135237328702522,0.47
2014-03-25,0.05,0.08,0.13,0.47,0.92,1.76,2.32,2.75,4.691217456044837,-4.729070068265325,-4.185819615929829,0.47
2014-03-26,0.05,0.07,0.12,0.45,0.89,1.7,2.27,2.71,4.644008909884832,-4.674179699622109,-4.247766277988498,0.47
2014-03-27,0.04,0.06,0.12,0.45,0.9,1.7,2.26,2.69,4.587496538105169,-4.635369329449583,-4.106464875012346,0.47
2014-03-28,0.04,0.06,0.13,0.45,0.93,1.74,2.31,2.73,4.652504805404123,-4.706801829240954,-4.115057939599688,0.47
2014-03-31,0.05,0.07,0.13,0.44,0.9,1.73,2.3,2.73,4.688743564877128,-4.72090506224466,-4.277334407573715,0.47
2014-04-01,0.04,0.06,0.13,0.44,0.91,1.74,2.32,2.77,4.750826207695377,-4.791551992704032,-4.341522765396475,0.47
2014-04-02,0.02,0.06,0.12,0.47,0.94,1.8,2.39,2.82,4.8120125511296745,-4.8828433480176345,-4.249125275404283,0.47
2014-04-03,0.02,0.05,0.11,0.46,0.95,1.79,2.38,2.8,4.77494002919191,-4.855741475508268,-4.181974656464061,0.47
2014-04-04,0.03,0.05,0.11,0.43,0.89,1.71,2.3,2.74,4.715684597816476,-4.765954880023654,-4.3349398724668475,0.47
2014-04-07,0.03,0.06,0.11,0.41,0.87,1.68,2.27,2.71,4.685991618831269,-4.723534234654698,-4.385465273001482,0.47
2014-04-08,0.03,0.06,0.11,0.4,0.88,1.67,2.24,2.69,4.634715073126567,-4.674494319772889,-4.3119064561010445,0.47
2014-04-09,0.04,0.05,0.1,0.37,0.85,1.65,2.24,2.71,4.728351170009435,-4.750014337346114,-4.597449585113807,0.47
2014-04-10,0.04,0.06,0.09,0.37,0.81,1.59,2.17,2.65,4.63049902253275,-4.637905623778177,-4.5818631256027125,0.47
2014-04-11,0.04,0.06,0.09,0.37,0.8,1.58,2.16,2.63,4.600268913029952,-4.607075688821999,-4.553060869212948,0.47
2014-04-14,0.04,0.06,0.1,0.37,0.82,1.61,2.18,2.65,4.622043504731953,-4.633960330270621,-4.520856112378999,0.47
2014-04-15,0.04,0.05,0.11,0.39,0.84,1.63,2.18,2.64,4.563351872654424,-4.590980108201955,-4.3254849500849195,0.47
2014-04-16,0.04,0.05,0.11,0.39,0.87,1.67,2.21,2.65,4.568347578435806,-4.609867025282198,-4.227643426102905,0.47
2014-04-17,0.03,0.05,0.11,0.43,0.91,1.75,2.31,2.73,4.682246610534184,-4.74740603346509,-4.187024781218247,0.47
2014-04-21,0.04,0.06,0.11,0.42,0.91,1.74,2.31,2.73,4.700486015615559,-4.750894424108664,-4.266762961260756,0.47
2014-04-22,0.03,0.06,0.11,0.45,0.93,1.76,2.31,2.73,4.649814541787891,-4.7189615244428635,-4.072734379829492,0.47
2014-04-23,0.02,0.05,0.11,0.43,0.91,1.73,2.28,2.7,4.609688943102601,-4.6826906675553435,-4.072524994991441,0.47
2014-04-24,0.01,0.04,0.1,0.43,0.91,1.74,2.3,2.7,4.6161310546333825,-4.705563323993056,-4.037991349350144,0.47
2014-04-25,0.03,0.04,0.11,0.43,0.9,1.72,2.28,2.68,4.589834508764305,-4.660772389237161,-4.062855706095473,0.47
2014-04-28,0.03,0.05,0.1,0.44,0.9,1.73,2.29,2.7,4.625513405343863,-4.6930215854190305,-4.114386039408834,0.47
2014-04-29,0.02,0.05,0.11,0.44,0.91,1.74,2.29,2.71,4.622996296727286,-4.697416838606725,-4.070781236198184,0.47
2014-04-30,0.03,0.05,0.11,0.42,0.87,1.69,2.25,2.67,4.593614506173435,-4.646561622139861,-4.184220056118173,0.47
2014-05-01,0.03,0.05,0.1,0.41,0.86,1.66,2.21,2.63,4.52536337669274,-4.577749179904094,-4.133590319108638,0.47
2014-05-02,0.02,0.05,0.1,0.42,0.89,1.67,2.2,2.6,4.427911589435282,-4.5028802435112985,-3.870466592205577,0.47
2014-05-05,0.03,0.05,0.11,0.43,0.9,1.68,2.22,2.63,4.475824271473729,-4.5420157843267335,-3.9315211147489633,0.47
2014-05-06,0.03,0.05,0.1,0.43,0.92,1.68,2.2,2.61,4.41627616495185,-4.492592187569953,-3.799857389304092,0.47
2014-05-07,0.03,0.05,0.1,0.41,0.89,1.65,2.18,2.62,4.466260073759288,-4.524674113956384,-4.0085393331370165,0.47
2014-05-08,0.03,0.05,0.1,0.4,0.86,1.63,2.16,2.61,4.472653840624266,-4.520309622334225,-4.108094825380503,0.47
2014-05-09,0.03,0.05,0.1,0.4,0.86,1.63,2.17,2.62,4.495954193699577,-4.541939794969591,-4.147887568718509,0.47
2014-05-12,0.03,0.05,0.09,0.41,0.87,1.67,2.21,2.66,4.569276997632962,-4.621977332158659,-4.197135676778331,0.47
2014-05-13,0.03,0.05,0.1,0.39,0.84,1.62,2.16,2.61,4.498980931302242,-4.538862824324069,-4.20865537916705,0.47
2014-05-14,0.03,0.05,0.1,0.39,0.81,1.57,2.1,2.54,4.375390203833517,-4.410518600562062,-4.1010071249562765,0.47
2014-05-15,0.03,0.05,0.09,0.38,0.8,1.55,2.05,2.5,4.29893551932997,-4.335100349046943,-4.0291061614291,0.47
2014-05-16,0.03,0.05,0.09,0.38,0.8,1.56,2.08,2.52,4.350336251263613,-4.385472818084951,-4.099416031099756,0.47
2014-05-19,0.03,0.05,0.09,0.36,0.79,1.56,2.09,2.54,4.4151846683421985,-4.442013097255984,-4.255041881412874,0.47
2014-05-20,0.03,0.06,0.09,0.35,0.77,1.53,2.06,2.52,4.393999056465954,-4.407206526698018,-4.313099253834012,0.47
2014-05-21,0.04,0.06,0.09,0.37,0.79,1.55,2.08,2.54,4.410339835828554,-4.424328222628873,-4.276256151858825,0.47
2014-05-22,0.03,0.05,0.09,0.37,0.8,1.57,2.1,2.56,4.437123555241532,-4.465685883103822,-4.25758108950296,0.47
2014-05-23,0.04,0.05,0.1,0.37,0.79,1.55,2.09,2.54,4.411268646454548,-4.428435369918697,-4.262774806203573,0.47
