observation_date,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,beta_0,beta_1,beta_2,beta_3,lambda_1,lambda_2
2014-01-02,0.07,0.09,0.13,0.39,0.76,1.72,2.41,3.0,5.333985668409187,-5.349005841671297,-5.6335444697633665,1.0444684229780035,0.47,40
2014-01-03,0.07,0.1,0.13,0.41,0.8,1.73,2.42,3.01,5.303257038164508,-5.33480351503967,-5.4747598008956215,1.1465867663658653,0.47,40
2014-01-06,0.05,0.08,0.12,0.4,0.78,1.7,2.38,2.98,5.254953407826362,-5.284127289817411,-5.466115282031327,0.9239355986851356,0.47,40
2014-01-07,0.04,0.08,0.13,0.4,0.8,1.69,2.37,2.96,5.200483656328361,-5.2231583806400605,-5.3627653488953015,0.7355575834222173,0.47,40
2014-01-08,0.05,0.08,0.13,0.43,0.87,1.77,2.44,3.01,5.190369739717125,-5.324629288050184,-4.951712127732794,1.7061738023013873,0.47,40
2014-01-09,0.04,0.06,0.13,0.44,0.86,1.75,2.41,2.97,5.096167681129755,-5.249561148338797,-4.77992395164705,1.7129481870563859,0.47,40
2014-01-10,0.05,0.06,0.12,0.39,0.77,1.64,2.29,2.88,5.041494088989207,-5.0991083500190175,-5.152113481158606,1.103495719623967,0.47,40
2014-01-13,0.03,0.06,0.11,0.39,0.74,1.6,2.25,2.84,4.998680569424001,-5.0133778962564755,-5.231692395330939,0.5638158385180013,0.47,40
2014-01-14,0.04,0.06,0.11,0.39,0.78,1.65,2.3,2.88,5.029716487621174,-5.111208534994381,-5.067063472011639,1.2148173655227934,0.47,40
2014-01-15,0.04,0.06,0.13,0.41,0.81,1.68,2.33,2.9,5.029261317365443,-5.119809313224217,-4.9490146977262235,1.2263691982195783,0.47,40
2014-01-16,0.04,0.07,0.11,0.41,0.8,1.66,2.3,2.86,4.9551863790631945,-5.060104624845963,-4.844376538988872,1.3797662969576745,0.47,40
2014-01-17,0.05,0.07,0.11,0.4,0.79,1.64,2.27,2.84,4.924993692562939,-5.024218163074415,-4.856324531260331,1.4382129518686544,0.47,40
2014-01-21,0.04,0.07,0.12,0.4,0.81,1.67,2.29,2.85,4.924371011508888,-5.036639434165549,-4.766871437247931,1.4292592618602784,0.47,40
2014-01-22,0.04,0.07,0.11,0.44,0.85,1.72,2.34,2.87,4.885525671763441,-5.082827430605707,-4.408737909840614,2.0889107789541286,0.47,40
2014-01-23,0.04,0.05,0.11,0.39,0.77,1.62,2.24,2.79,4.83615586892103,-4.956612106226626,-4.720362721278095,1.49517865839293,0.47,40
2014-01-24,0.04,0.06,0.11,0.37,0.75,1.58,2.2,2.75,4.801680475784602,-4.878692442482196,-4.827090875655517,1.1688831452282067,0.47,40
2014-01-27,0.05,0.07,0.11,0.37,0.76,1.61,2.24,2.78,4.859803633413188,-4.952692464530849,-4.851714752956598,1.4260546316169336,0.47,40
2014-01-28,0.05,0.07,0.11,0.38,0.75,1.59,2.22,2.77,4.844159059283131,-4.913556608503618,-4.891938341644337,1.2149773259346517,0.47,40
2014-01-29,0.04,0.07,0.11,0.36,0.71,1.52,2.15,2.69,4.747579113628107,-4.7610485357992305,-4.966869008197624,0.6674393750708989,0.47,40
2014-01-30,0.02,0.06,0.1,0.36,0.72,1.55,2.19,2.72,4.796368860696903,-4.840085773754856,-4.943567197184636,0.7338179190636981,0.47,40
2014-01-31,0.02,0.06,0.1,0.34,0.69,1.49,2.13,2.67,4.745354347544565,-4.738588922014624,-5.070649224659304,0.3322615450093913,0.47,40
2014-02-03,0.05,0.07,0.11,0.3,0.64,1.44,2.07,2.61,4.706298689224993,-4.654011026968746,-5.249501289954773,0.3078609110772865,0.47,40
2014-02-04,0.06,0.07,0.12,0.31,0.65,1.46,2.09,2.64,4.748176157068066,-4.6969084119834195,-5.2744807027472795,0.3919455677994839,0.47,40
2014-02-05,0.07,0.07,0.12,0.32,0.66,1.5,2.14,2.7,4.851129268978212,-4.817820739203593,-5.352953762787092,0.64694960413189,0.47,40
2014-02-06,0.07,0.08,0.13,0.33,0.69,1.52,2.17,2.73,4.887962375357366,-4.8468618779403005,-5.3533508472792155,0.5629626381791737,0.47,40
2014-02-07,0.08,0.09,0.12,0.3,0.66,1.47,2.13,2.71,4.910208665025218,-4.819647010549093,-5.609815247742997,0.32364146010508676,0.47,40
2014-02-10,0.07,0.1,0.12,0.32,0.66,1.48,2.13,2.7,4.881656286697591,-4.780337810857319,-5.545028958993282,0.12175958105068678,0.47,40
2014-02-11,0.05,0.1,0.12,0.35,0.71,1.54,2.19,2.75,4.910645141244807,-4.852472781729685,-5.351982665177794,0.2376945871745784,0.47,40
2014-02-12,0.05,0.09,0.12,0.35,0.74,1.59,2.23,2.8,4.963243697494802,-4.958269894606689,-5.260921310248626,0.6685572536146267,0.47,40
2014-02-13,0.03,0.08,0.12,0.32,0.7,1.51,2.16,2.73,4.895274459586967,-4.822702775663649,-5.421299070441004,-0.07428930910067139,0.47,40
2014-02-14,0.02,0.07,0.11,0.32,0.71,1.53,2.17,2.75,4.910170501154273,-4.869790444325139,-5.361461249843858,0.09593171364286357,0.47,40
2014-02-18,0.05,0.08,0.12,0.31,0.67,1.5,2.14,2.71,4.883091546196171,-4.812332670136729,-5.4645759193366,0.1623702290565081,0.47,40
2014-02-19,0.06,0.09,0.11,0.33,0.69,1.53,2.17,2.73,4.88619776711977,-4.858432838091728,-5.324613801279986,0.620443567015294,0.47,40
2014-02-20,0.05,0.08,0.12,0.34,0.72,1.57,2.2,2.76,4.8991358325248475,-4.902274491177096,-5.195443984010367,0.7316353187383635,0.47,40
2014-02-21,0.05,0.08,0.12,0.33,0.71,1.56,2.19,2.73,4.857178598998178,-4.8664374859540125,-5.1436540208616055,0.7941108756211387,0.47,40
2014-02-24,0.05,0.08,0.11,0.35,0.72,1.57,2.2,2.75,4.867639442111532,-4.8937615414324185,-5.095321348945076,0.9216616651766372,0.47,40
2014-02-25,0.05,0.08,0.11,0.34,0.7,1.53,2.16,2.7,4.797492834535965,-4.803445068907423,-5.089159216481895,0.7582633741476399,0.47,40
2014-02-26,0.05,0.08,0.11,0.33,0.68,1.5,2.12,2.67,4.762189143153192,-4.740537597588842,-5.149462588593666,0.5376717916491396,0.47,40
2014-02-27,0.04,0.07,0.11,0.33,0.68,1.49,2.11,2.65,4.717639657190794,-4.705603147344247,-5.0629987464129025,0.49703911434166437,0.47,40
2014-02-28,0.05,0.08,0.12,0.33,0.69,1.51,2.13,2.66,4.734506698042753,-4.7249120240138005,-5.050108334903474,0.617811539828181,0.47,40
2014-03-03,0.05,0.08,0.12,0.32,0.66,1.46,2.07,2.6,4.650378732281355,-4.606858670802583,-5.071512155375923,0.338923088725927,0.47,40
2014-03-04,0.05,0.08,0.12,0.33,0.71,1.54,2.17,2.7,4.797312330607209,-4.807794786592657,-5.061441933607175,0.7915985685051684,0.47,40
2014-03-05,0.06,0.09,0.13,0.33,0.71,1.54,2.16,2.7,4.80060569979298,-4.788038091458156,-5.110391486977431,0.6958321849104343,0.47,40
2014-03-06,0.05,0.08,0.12,0.37,0.73,1.57,2.2,2.74,4.825815228777533,-4.8508469056361045,-4.987473906329682,0.8613052113906655,0.47,40
2014-03-07,0.06,0.09,0.13,0.38,0.79,1.65,2.27,2.8,4.87368369722101,-4.964729283331623,-4.78249277230733,1.4897416305080426,0.47,40
2014-03-10,0.05,0.08,0.12,0.37,0.79,1.64,2.26,2.79,4.852641703208667,-4.961232465862906,-4.739180236692225,1.545526191995827,0.47,40
2014-03-11,0.05,0.08,0.13,0.37,0.79,1.62,2.25,2.77,4.822200922767143,-4.911032432023052,-4.7354744083111395,1.3584490418405477,0.47,40
2014-03-12,0.05,0.08,0.12,0.37,0.78,1.59,2.2,2.73,4.739155022050981,-4.828205292162532,-4.652575385499841,1.3584830873906149,0.47,40
2014-03-13,0.05,0.08,0.12,0.34,0.74,1.53,2.14,2.66,4.666002802662417,-4.714195232025618,-4.743846808262536,1.053922588927099,0.47,40
2014-03-14,0.05,0.08,0.12,0.36,0.74,1.55,2.14,2.65,4.6200031112543805,-4.693077334792206,-4.5827437646389475,1.232730104531167,0.47,40
2014-03-17,0.06,0.08,0.13,0.38,0.77,1.58,2.19,2.7,4.6829762546171585,-4.772139604509768,-4.565481683069634,1.4270226559133314,0.47,40
2014-03-18,0.05,0.07,0.13,0.36,0.75,1.56,2.16,2.68,4.6702640730345575,-4.740920567859662,-4.6429169006897,1.188034479701829,0.47,40
2014-03-19,0.06,0.09,0.15,0.47,0.91,1.75,2.31,2.78,4.607941878928751,-4.869858412500315,-3.6854110638556965,2.6876302662365448,0.47,40
2014-03-20,0.06,0.09,0.14,0.45,0.9,1.73,2.31,2.79,4.660989115117502,-4.905935468718047,-3.861340978844571,2.5962599817614653,0.47,40
2014-03-21,0.06,0.08,0.14,0.45,0.91,1.73,2.3,2.75,4.555665167699633,-4.854126809566255,-3.5759944214382657,3.0090652528860504,0.47,40
2014-03-24,0.06,0.08,0.14,0.47,0.93,1.76,2.31,2.74,4.487173801747266,-4.837343968513241,-3.293992294640413,3.400490540473685,0.47,40
2014-03-25,0.05,0.08,0.13,0.47,0.92,1.76,2.32,2.75,4.523318913641381,-4.865014104345311,-3.3798619632912428,3.257851363966403,0.47,40
2014-03-26,0.05,0.07,0.12,0.45,0.89,1.7,2.27,2.71,4.485571716717776,-4.8024630836375,-3.487225605114496,3.0742664004205618,0.47,40
2014-03-27,0.04,0.06,0.12,0.45,0.9,1.7,2.26,2.69,4.4243687253156585,-4.767450605713477,-3.323407991131885,3.1652816537313977,0.47,40
2014-03-28,0.04,0.06,0.13,0.45,0.93,1.74,2.31,2.73,4.479719126579761,-4.846702900425853,-3.2856407065262414,3.3526801002874165,0.47,40
2014-03-31,0.05,0.07,0.13,0.44,0.9,1.73,2.3,2.73,4.525030267369905,-4.853460394975529,-3.491467039113361,3.1766422321940744,0.47,40
2014-04-01,0.04,0.06,0.13,0.44,0.91,1.74,2.32,2.77,4.59519052212412,-4.917567045077796,-3.5944300839571492,3.019906712467778,0.47,40
2014-04-02,0.02,0.06,0.12,0.47,0.94,1.8,2.39,2.82,4.647472740372123,-5.016067893731742,-3.459290421364738,3.192679668110365,0.47,40
2014-04-03,0.02,0.05,0.11,0.46,0.95,1.79,2.38,2.8,4.59149501014177,-5.0042731832750995,-3.301389777091681,3.5595104785996603,0.47,40
2014-04-04,0.03,0.05,0.11,0.43,0.89,1.71,2.3,2.74,4.557802837231681,-4.8937885117378634,-3.5770654626915417,3.0634885860582584,0.47,40
2014-04-07,0.03,0.06,0.11,0.41,0.87,1.68,2.27,2.71,4.543146971385696,-4.839192644819829,-3.6997729755057596,2.771713391601515,0.47,40
2014-04-08,0.03,0.06,0.11,0.4,0.88,1.67,2.24,2.69,4.488925313828961,-4.792537307710783,-3.6120768630222777,2.828859181404861,0.47,40
2014-04-09,0.04,0.05,0.1,0.37,0.85,1.65,2.24,2.71,4.5797226775710485,-4.870355802795301,-3.8839933013697077,2.8839412456606563,0.47,40
2014-04-10,0.04,0.06,0.09,0.37,0.81,1.59,2.17,2.65,4.503944488995859,-4.740374249419134,-3.9743677207419985,2.455624931886654,0.47,40
2014-04-11,0.04,0.06,0.09,0.37,0.8,1.58,2.16,2.63,4.474939741907675,-4.708552164352894,-3.9514475275394636,2.4318483819908985,0.47,40
2014-04-14,0.04,0.06,0.1,0.37,0.82,1.61,2.18,2.65,4.4908777462681275,-4.740162571341945,-3.8912256012459094,2.5450997188962146,0.47,40
2014-04-15,0.04,0.05,0.11,0.39,0.84,1.63,2.18,2.64,4.418619242809581,-4.7081671801352085,-3.630729834616803,2.808347233173289,0.47,40
2014-04-16,0.04,0.05,0.11,0.39,0.87,1.67,2.21,2.65,4.398885903596333,-4.7470766965804145,-3.414182326133431,3.2881819034911595,0.47,40
2014-04-17,0.03,0.05,0.11,0.43,0.91,1.75,2.31,2.73,4.498249414595142,-4.8963848315775795,-3.3037893005762085,3.570224795733437,0.47,40
2014-04-21,0.04,0.06,0.11,0.42,0.91,1.74,2.31,2.73,4.515638398255989,-4.900561775049644,-3.379445250560706,3.5867258919809006,0.47,40
